strategy,tns,wns,power,hpwl,displacement_um,runtime_s,tns_improve_pct,proxy_S,def_path
size_only_polish,-16469.670137992915,-82.45285043257499,0.057694729417562485,33920.2,0.6832304124231118,26.969,83.64632646836696,1363.3085056006882,/home/jay/2025ICCAD/src/openRoad_eval_script/results/aes_cipher_top_size_only_polish.def
full_buffer_polish,-17726.341354550157,-66.51174082537275,0.05761362984776497,33756.8,0.657654330946859,29.189,82.39850604209327,1359.4203033277724,/home/jay/2025ICCAD/src/openRoad_eval_script/results/aes_cipher_top_full_buffer_polish.def
hybrid_polish_nr,-8809.880860058556,-47.22830478918122,0.05974249914288521,34349.4,0.955479278007462,21.093,91.25216751575222,1356.1273336207282,/home/jay/2025ICCAD/src/openRoad_eval_script/results/aes_cipher_top_hybrid_polish_nr.def
hybrid_polish,-8792.5729271247,-47.785303682861326,0.059762123972177505,35082.3,0.9533120903499043,26.757,91.26935354815822,1334.2422498073645,/home/jay/2025ICCAD/src/openRoad_eval_script/results/aes_cipher_top_hybrid_polish.def
full_buffer,-14308.003727920765,-61.9115317044569,0.055967967957258224,34178.2,0.6585854593122921,113.671,85.79276816746739,1110.025498385408,/home/jay/2025ICCAD/src/openRoad_eval_script/results/aes_cipher_top_full_buffer.def
timing_first,-17187.950687015553,-66.81727420297045,0.055978741496801376,34429.5,0.6849619844711102,118.342,82.93310480063354,1092.9166294393667,/home/jay/2025ICCAD/src/openRoad_eval_script/results/aes_cipher_top_timing_first.def
size_only,-12005.43,-73.81,0.0570637546479702,32564.7,0.6849619844711102,185.974,88.07912476802043,898.7946126077395,/home/jay/2025ICCAD/src/openRoad_eval_script/results/aes_cipher_top_size_only.def
hybrid,-15690.425021998462,-61.67553992184203,0.05725649371743202,35837.1,0.9542214379348593,247.435,84.42008332696338,677.4242460836775,/home/jay/2025ICCAD/src/openRoad_eval_script/results/aes_cipher_top_hybrid.def
adaptive,-13076.53546230164,-77.72493790774134,0.058000992983579636,38525.1,1.3026159120701826,328.784,87.01556314828755,397.0907403620764,/home/jay/2025ICCAD/src/openRoad_eval_script/results/aes_cipher_top_adaptive.def
